Field-Induced Quantum Soliton Lattice in a Frustrated Two-Leg Spin- Ladder,42,2013
"F Casola, T Shiroka, A Feiguin, S Wang, MS Grbić, M Horvatić, S Krämer, ...",,
"Physical review letters 110 (18), 187201",,
Measurement of the sliding charge-density-wave phase velocity in ,42,1987
"A Jánossy, C Berthier, P Ségransan, P Butaud",,
"Physical review letters 59 (20), 2348",,
Novel Ordered Phases in the Orthogonal Dimer Spin System SrCu2(BO3)2,41,2010
"M Takigawa, T Waki, M Horvatić, C Berthier",,
"Journal of the Physical Society of Japan 79 (1), 011005",,
NMR Evidence for the Persistence of a Spin Superlattice Beyond the  Magnetization Plateau <?format ?>in ,41,2008
"M Takigawa, S Matsubara, M Horvatić, C Berthier, H Kageyama, Y Ueda",,
"Physical review letters 101 (3), 037202",,
"77Se NMR Evidence for the Jaccarino–Peter Mechanism in the Field Induced Superconductor, λ-(BETS)2FeCl4",41,2007
"K Hiraki, H Mayaffre, M Horvatić, C Berthier, S Uji, T Yamaguchi, ...",,
"Journal of the Physical Society of Japan 76 (12), 124708",,
Nuclear magnetic resonance evidence for a strong modulation of the Bose-Einstein condensate in ,41,2007
"S Krämer, R Stern, M Horvatić, C Berthier, T Kimura, IR Fisher",,
"Physical Review B—Condensed Matter and Materials Physics 76 (10), 100406",,
Dichotomy between attractive and repulsive tomonaga-luttinger liquids in spin ladders,37,2016
"M Jeong, D Schmidiger, H Mayaffre, M Klanjšek, C Berthier, W Knafo, ...",,
"Physical review letters 117 (10), 106402",,
"Analysis of the 63, 65Cu NMR data as a function of oxygen concentration in YBa2Cu3O7− δ",37,1990
"M Horvatić, P Butaud, P Segransan, Y Berthier, C Berthier, JY Henry, ...",,
"Physica C: Superconductivity 166 (1-2), 151-157",,
Anisotropy of magnetic interactions in the spin-ladder compound (C 5 H 12 N) 2 CuBr 4,36,2010
"E Čižmár, M Ozerov, J Wosnitza, B Thielemann, KW Krämer, C Rüegg, ...",,
"Physical Review B—Condensed Matter and Materials Physics 82 (5), 054431",,
Field-Induced Staggered Magnetization and Magnetic Ordering in ,36,2006
"M Clémancey, H Mayaffre, C Berthier, M Horvatić, JB Fouet, S Miyahara, ...",,
"Physical review letters 97 (16), 167204",,
Hyperfine coupling and spin polarization in the bulk of the topological insulator ,35,2015
"S Mukhopadhyay, S Krämer, H Mayaffre, HF Legg, M Orlita, C Berthier, ...",,
"Physical Review B 91 (8), 081105",,
Giant magnetic field dependence of the coupling between spin chains in ,34,2015
"M Klanjšek, M Horvatić, S Krämer, S Mukhopadhyay, H Mayaffre, ...",,
"Physical Review B 92 (6), 060408",,
Nmr investigation of p (eo)(liclo4) x,34,1992
"W Gorecki, E Belorizky, C Berthier, P Donoso, M Armand",,
"Electrochimica acta 37 (9), 1685-1687",,
Neutron diffraction investigation of the  phase diagram above the longitudinal incommensurate phase of ,32,2015
"B Grenier, V Simonet, B Canals, P Lejay, M Klanjšek, M Horvatić, ...",,
"Physical Review B 92 (13), 134416",,
Crystal growth and magnetic property of MCo2V2O8 (M= Sr and Ba),31,2011
"P Lejay, E Canevet, SK Srivastava, B Grenier, M Klanjsek, C Berthier",,
"Journal of crystal growth 317 (1), 128-131",,
"6 3, 6 5 Cu NMR investigation of CuGeO 3 ssingle crystals: mThe uniform and the dimerized spin-Peierls phase",31,1997
"Y Fagot-Revurat, M Horvatic-acute, C Berthier, JP Boucher, P Ségransan, ...",,
"Physical Review B 55 (5), 2964",,
"The Na-TiS2 system: A critical discussion of the phase boundaries, structural and NMR studies",31,1984
"P Molinie, L Trichet, J Rouxel, C Berthier, Y Chabre, P Segransan",,
"Journal of Physics and Chemistry of Solids 45 (1), 105-112",,
Differntial scanning calometry of sodium iodide poly (ethylene oxyde) complexes,31,1983
"M Minier, C Berthier, W Gorecki",,
"Solid State Ionics 9, 1125-1127",,
Nuclear Spin-Lattice Relaxation and EPR Studies of TTF-TCNQ and TMTTF-TCNQ Under Hydrostatic Pressure,31,1976
"C Berthier, JR Cooper, D Jerome, G Soda, C Weyl, JM Fabre, L Giral",,
"Molecular Crystals and Liquid Crystals 32 (1), 267-270",,
Magnetic-field-enhanced spin freezing on the verge of charge ordering in YBaCuO,30,2013
"T Wu, H Mayaffre, S Krämer, M Horvatić, C Berthier, CT Lin, D Haug, ...",,
"Physical Review B—Condensed Matter and Materials Physics 88 (1), 014511",,
91Zr Nuclear Magnetic Resonance Spectroscopy of Solid Zirconium Halides at High Magnetic Field,30,2009
"O Pauvert, F Fayon, A Rakhmatullin, S Kramer, M Horvatic, D Avignant, ...",,
"Inorganic chemistry 48 (18), 8709-8717",,
Spin dynamics of the ferric wheel  studied by electron and nuclear spin resonance,30,2005
"B Pilawa, R Boffinger, I Keilhauer, R Leppin, I Odenwald, W Wendl, ...",,
"Physical Review B—Condensed Matter and Materials Physics 71 (18), 184419",,
NMR studies of lamellar intercalation compounds,30,1980
"C Berthier, Y Chabre, P Segransan",,
"Physica B+ C 99 (1-4), 107-116",,
NMR investigation of low energy excitations in high Tc superconductors,28,1993
